year,month,T2M,PRECTOTCORR
2000,1,24.896,2.5759999999999996
2000,2,25.076,0.052000000000000005
2000,3,27.052,1.814
2000,4,26.413999999999998,5.008
2000,5,26.326,6.536
2000,6,25.218,7.554
2000,7,24.012,9.08
2000,8,23.598,14.297999999999998
2000,9,24.101999999999997,5.304
2000,10,24.646,6.266
2000,11,24.734,1.448
2000,12,24.198,0.062
2001,1,24.794,0.022
2001,2,26.104000000000003,0.012
2001,3,27.977999999999998,0.21400000000000002
2001,4,27.977999999999998,1.064
2001,5,27.682,1.004
2001,6,25.796,6.006
2001,7,24.504,5.044
2001,8,24.088,7.162000000000001
2001,9,24.44,6.078
2001,10,25.848000000000003,1.85
2001,11,26.194,0.708
2001,12,26.504,0.08600000000000001
2002,1,26.6,0.32999999999999996
2002,2,28.644,0.044
2002,3,29.28,0.318
2002,4,29.292,0.924
2002,5,29.387999999999998,0.6980000000000001
2002,6,26.832,3.28
2002,7,25.622000000000003,4.122
2002,8,24.812,6.82
2002,9,25.683999999999997,2.4799999999999995
2002,10,26.256,1.314
2002,11,27.836000000000002,0.33
2002,12,27.74,0.068
2003,1,28.122000000000003,0.08
2003,2,29.601999999999997,0.06200000000000001
2003,3,29.994,0.046
2003,4,29.913999999999998,0.378
2003,5,29.236,1.1380000000000001
2003,6,26.742,2.976
2003,7,25.326,4.382
2003,8,24.538,7.095999999999999
2003,9,25.244,2.664
2003,10,26.619999999999997,1.454
2003,11,26.82,1.548
2003,12,27.410000000000004,0.158
2004,1,28.432,0.034
2004,2,28.766,0.174
2004,3,29.794,0.11000000000000001
2004,4,28.727999999999998,1.7719999999999998
2004,5,27.968,2.192
2004,6,27.195999999999998,2.448
2004,7,24.753999999999998,6.523999999999999
2004,8,24.512,12.819999999999999
2004,9,24.926,3.728
2004,10,25.828000000000003,2.1
2004,11,25.734,3.368
2004,12,26.644,0.162
2005,1,26.15,0.05
2005,2,29.02,1.02
2005,3,29.080000000000002,0.8720000000000001
2005,4,29.110000000000003,0.6
2005,5,27.595999999999997,2.182
2005,6,25.798000000000002,5.892
2005,7,25.018,5.33
2005,8,24.532,7.874
2005,9,25.169999999999998,5.018
2005,10,26.206,3.064
2005,11,26.726,0.606
2005,12,26.848000000000003,0.744
2006,1,27.782,0.118
2006,2,28.536,0.22399999999999998
2006,3,28.865999999999996,0.388
2006,4,28.862000000000002,1.172
2006,5,28.008,1.876
2006,6,26.433999999999997,3.872
2006,7,25.484,4.596
2006,8,24.57,6.593999999999999
2006,9,24.9,6.890000000000001
2006,10,25.768,3.368
2006,11,26.944,0.322
2006,12,26.55,0.042
2007,1,26.984,0.016
2007,2,28.451999999999998,0.692
2007,3,29.064,1.016
2007,4,29.101999999999997,0.49799999999999994
2007,5,28.233999999999998,2.3120000000000003
2007,6,26.502,3.3280000000000003
2007,7,24.913999999999998,6.544
2007,8,24.254,9.044
2007,9,24.978,2.96
2007,10,26.194,1.23
2007,11,26.704,0.7340000000000001
2007,12,27.004,0.5740000000000001
2008,1,26.945999999999998,0.268
2008,2,28.927999999999997,0.11000000000000001
2008,3,28.314,2.192
2008,4,28.977999999999998,0.748
2008,5,26.948,4.486
2008,6,25.742,10.588
2008,7,24.408,12.166
2008,8,24.074,17.32
2008,9,24.746000000000002,15.456
2008,10,25.14,8.928
