Year,Model,Actual,Predicted,AbsError
2018,XGBoost,785.6,1391.3,605.7
2018,GradientBoosting,785.6,1422.0,636.4
2018,RandomForest,785.6,1496.5,710.9
2018,Ridge (linear),785.6,1289.1,503.5
2018,Persistence (t-1),785.6,1149.2,363.6
2018,3-yr rolling mean,785.6,1244.6,459.0
2019,XGBoost,1574.5,1403.4,171.1
2019,GradientBoosting,1574.5,1403.9,170.6
2019,RandomForest,1574.5,1462.1,112.4
2019,Ridge (linear),1574.5,1166.0,408.5
2019,Persistence (t-1),1574.5,785.6,788.9
2019,3-yr rolling mean,1574.5,1026.2,548.3
2020,XGBoost,1736.9,1603.3,133.6
2020,GradientBoosting,1736.9,1529.8,207.1
2020,RandomForest,1736.9,1433.5,303.4
2020,Ridge (linear),1736.9,1566.2,170.7
2020,Persistence (t-1),1736.9,1574.5,162.4
2020,3-yr rolling mean,1736.9,1169.8,567.1
2021,XGBoost,2095.3,1817.3,278.0
2021,GradientBoosting,2095.3,1748.2,347.1
2021,RandomForest,2095.3,1621.2,474.1
2021,Ridge (linear),2095.3,1857.2,238.1
2021,Persistence (t-1),2095.3,1736.9,358.4
2021,3-yr rolling mean,2095.3,1365.7,729.6
2022,XGBoost,2109.8,1841.2,268.6
2022,GradientBoosting,2109.8,1873.3,236.5
2022,RandomForest,2109.8,1669.3,440.5
2022,Ridge (linear),2109.8,2058.1,51.7
2022,Persistence (t-1),2109.8,2095.3,14.5
2022,3-yr rolling mean,2109.8,1802.2,307.6
2023,XGBoost,1508.5,1475.1,33.4
2023,GradientBoosting,1508.5,1543.1,34.6
2023,RandomForest,1508.5,1559.5,51.0
2023,Ridge (linear),1508.5,2173.3,664.8
2023,Persistence (t-1),1508.5,2109.8,601.3
2023,3-yr rolling mean,1508.5,1980.7,472.2
2024,XGBoost,1408.6,1384.6,24.0
2024,GradientBoosting,1408.6,1475.2,66.6
2024,RandomForest,1408.6,1448.7,40.1
2024,Ridge (linear),1408.6,1318.0,90.6
2024,Persistence (t-1),1408.6,1508.5,99.9
2024,3-yr rolling mean,1408.6,1904.5,495.9
