,Count,Mean,Std,Min,25%,50%,75%,Max
Year,25.0,2012.0,7.36,2000.0,2006.0,2012.0,2018.0,2024.0
"Broad beans and horse beans, dry_Yield",25.0,1014.97,198.23,498.6,885.9,979.2,1200.0,1250.0
Cabbages_Yield,2.0,6696.55,146.3,6593.1,6644.83,6696.55,6748.28,6800.0
"Cashew nuts, in shell_Yield",2.0,207.1,0.42,206.8,206.95,207.1,207.25,207.4
Cassava_Yield,25.0,10331.55,3995.37,6166.2,6370.0,10800.0,13590.5,19572.7
Cereals n.e.c._Yield,25.0,819.6,42.58,785.7,800.0,806.7,809.9,978.5
"Cereals, primary_Yield",25.0,1374.1,316.59,813.0,1092.3,1350.9,1630.0,1929.4
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw_Yield",25.0,3508.22,968.66,2200.0,2494.5,3952.8,4384.1,5000.0
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)_Yield",7.0,1426.51,399.8,786.1,1279.65,1463.0,1531.05,2115.1
Cocoa beans_Yield,25.0,385.71,64.39,275.0,360.0,368.4,405.4,599.6
"Coconuts, in shell_Yield",25.0,976.69,18.84,957.9,963.0,967.7,997.8,1012.1
"Coffee, green_Yield",25.0,1670.06,515.05,184.5,1611.5,1700.0,1785.7,2500.0
Cucumbers and gherkins_Yield,2.0,5253.75,1802.63,3979.1,4616.42,5253.75,5891.08,6528.4
Eggplants (aubergines)_Yield,2.0,7065.6,109.32,6988.3,7026.95,7065.6,7104.25,7142.9
Fruit Primary_Yield,25.0,5142.33,185.73,4694.9,4965.4,5190.4,5294.7,5378.6
Groundnuts_Yield,25.0,930.0,427.35,499.8,740.0,768.4,1100.0,2436.9
Kola nuts_Yield,25.0,287.26,10.29,246.7,282.6,290.0,293.2,297.9
"Lentils, dry_Yield",2.0,855.95,15.2,845.2,850.58,855.95,861.32,866.7
Maize_Yield,25.0,1400.48,748.2,333.2,840.0,1030.9,1703.7,3299.1
"Mangoes, guavas and mangosteens_Yield",25.0,2968.69,554.87,1666.7,2636.4,3225.7,3282.5,3750.0
Millet_Yield,25.0,965.11,134.7,503.9,940.9,1000.0,1042.2,1086.3
Oil palm fruit_Yield,25.0,7914.61,180.93,7610.9,7783.4,7812.5,8076.9,8181.8
Okra_Yield,1.0,3209.1,,3209.1,3209.1,3209.1,3209.1,3209.1
"Other citrus fruit, n.e.c._Yield",25.0,5692.75,31.82,5612.9,5691.0,5693.9,5694.5,5764.7
"Other fibre crops, raw, n.e.c._Yield",25.0,4864.72,160.87,4661.0,4717.7,4840.7,5000.0,5188.4
"Other fruits, n.e.c._Yield",25.0,5247.87,376.61,4320.0,5000.0,5312.5,5586.3,5768.7
Other pulses n.e.c._Yield,25.0,650.46,27.93,589.3,636.6,639.3,680.9,699.0
"Other stimulant, spice and aromatic crops, n.e.c._Yield",25.0,2099.25,45.98,2033.9,2058.9,2098.9,2128.7,2207.5
"Other vegetables, fresh n.e.c._Yield",25.0,6872.3,800.87,6125.0,6285.7,6860.2,7200.0,10000.0
"Peas, dry_Yield",25.0,854.78,23.63,800.0,848.5,859.3,866.7,900.0
Plantains_Yield,25.0,5432.84,126.17,5211.3,5291.3,5460.5,5549.3,5600.0
"Pumpkins, squash and gourds_Yield",2.0,6398.85,33.73,6375.0,6386.92,6398.85,6410.78,6422.7
Rice_Yield,25.0,1440.88,370.63,785.6,1135.4,1431.7,1736.9,2109.8
Sesame seed_Yield,25.0,608.7,89.67,517.2,549.1,600.0,612.9,944.2
Sorghum_Yield,25.0,969.55,105.08,666.7,913.6,955.4,998.7,1300.0
Soya beans_Yield,2.0,817.8,210.01,669.3,743.55,817.8,892.05,966.3
Sugar cane_Yield,25.0,69750.01,363.16,69000.0,69723.9,69757.2,70000.0,70434.8
Sweet Potato_Yield,25.0,5181.44,2178.94,2545.0,3370.0,4800.0,7414.9,9571.8
Taro_Yield,25.0,2534.31,57.68,2434.8,2500.0,2547.9,2583.3,2636.4
Tea leaves_Yield,2.0,7500.0,0.0,7500.0,7500.0,7500.0,7500.0,7500.0
Tomatoes_Yield,25.0,9124.36,438.77,8392.9,8823.1,8992.9,9333.3,10000.0
Unmanufactured tobacco_Yield,25.0,493.78,19.74,469.8,473.7,493.3,500.0,538.7
Yams_Yield,2.0,5980.65,2190.55,4431.7,5206.18,5980.65,6755.12,7529.6
